,Row_ID,Year,Era,Scenario,Region,Demographic_Group,Education_Level,Profession,AI_Tool_Category,Weekly_AI_Usage_Hours,AI_Dependency_Score,Human_Creativity_Score,Critical_Thinking_Ability,Problem_Solving_Skills,Emotional_Intelligence,Innovation_Rate,Learning_Speed,Human_Decision_Making_Involvement,Social_Interaction_Quality,Cognitive_Load_Index,Mental_Wellbeing_Score,AI_Tool_Proficiency,Adaptability_Score,Attention_Span_Minutes,Positive_Effects_of_AI,Negative_Effects_of_AI,Outcome_Label
6146,6147,2054,Cognitive Co-Evolution,Pessimistic,South Asia,Young Adult (26-35),Primary,Technology,Analytical AI,33.2,65.44,46.0,53.73,58.22,52.93,38.35,56.99,57.65,52.94,70.43,52.13,68.55,39.21,32.81,Augmented artistic expression; Real-time language and cultural bridging,Over-reliance on AI outputs; Declining handwriting and manual skills,Cognitive Decline Risk
6147,6148,2053,Cognitive Co-Evolution,Pessimistic,Africa,Youth (18-25),Undergraduate,Education,Multi-modal AI,32.5,68.54,56.96,50.01,61.04,53.3,42.68,55.9,52.64,60.38,65.85,44.11,73.41,55.5,39.89,Enhanced emotional regulation through AI coaching,Reduced risk-taking in innovation; Reduced physical-world problem solving; Digital addiction patterns,Cognitive Decline Risk
6148,6149,2063,Symbiotic Intelligence Age,Neutral,North America,Young Adult (26-35),Undergraduate,Social Sciences,Multi-modal AI,22.5,65.0,75.44,58.49,75.2,74.65,62.96,76.44,53.78,62.79,79.61,54.24,69.02,48.69,57.64,Augmented artistic expression; Democratized access to expertise; Accelerated innovation cycles,Skill atrophy in non-AI domains; Digital addiction patterns; Job displacement anxiety,Positive Growth
6149,6150,2065,Symbiotic Intelligence Age,Mixed,Africa,Senior (51-65),Undergraduate,Unemployed/Retired,AGI-Adjacent Tools,31.6,62.47,53.33,67.39,31.87,77.4,55.81,71.09,49.91,72.78,69.43,76.68,68.91,57.47,51.88,Broader knowledge access; Augmented artistic expression; Greater scientific discovery rates,Decreased self-confidence in decisions; Declining handwriting and manual skills,Stagnant / Moderate
6150,6151,2053,Cognitive Co-Evolution,Neutral,East Asia,Senior (51-65),Undergraduate,Finance,Multi-modal AI,17.2,47.43,64.02,62.63,66.58,64.54,65.99,73.45,60.32,58.34,70.21,58.46,52.88,65.36,36.26,Personalized learning pathways,Declining handwriting and manual skills; Existential anxiety from AI advancement; Over-reliance on AI outputs,Stagnant / Moderate
6151,6152,2054,Cognitive Co-Evolution,Pessimistic,Oceania,Adult (36-50),PhD/Research,Science & Research,Multi-modal AI,40.2,65.28,56.95,60.44,42.59,51.66,33.44,44.68,61.63,55.87,65.76,53.18,67.62,48.75,34.72,Better data-driven decisions; Accelerated innovation cycles,Algorithmic bias reinforcement; Decreased social bonding; Job displacement anxiety; Creativity homogenization,Cognitive Decline Risk
6152,6153,2052,Cognitive Co-Evolution,Optimistic,North America,Elder (65+),Undergraduate,Engineering,Creative AI,24.7,50.73,55.85,81.7,78.69,78.34,68.87,73.92,73.26,77.9,58.93,72.94,55.39,73.42,58.79,Improved creative brainstorming; Real-time language and cultural bridging; Faster medical diagnostics,Declining handwriting and manual skills,Positive Growth
6153,6154,2070,Symbiotic Intelligence Age,Optimistic,North America,Young Adult (26-35),Postgraduate,Business,AGI-Adjacent Tools,39.9,70.63,76.12,84.92,91.05,80.75,89.85,94.64,62.34,74.14,81.85,78.15,69.02,84.08,52.07,Enhanced collaborative intelligence; Improved mental health support tools,,Positive Growth
6154,6155,2073,Symbiotic Intelligence Age,Optimistic,Middle East,Adult (36-50),PhD/Research,Engineering,Full AGI Integration,42.8,78.11,70.11,78.98,90.22,83.44,89.93,94.26,65.18,83.49,70.75,83.59,78.5,78.71,69.93,Enhanced research capabilities; Accelerated innovation cycles; Broader knowledge access; Increased productivity for deep work,,Positive Growth
6155,6156,2068,Symbiotic Intelligence Age,Optimistic,Southeast Asia,Adult (36-50),PhD/Research,Healthcare,Full AGI Integration,32.4,73.6,82.24,76.69,84.59,82.56,90.3,87.49,64.32,73.73,80.49,85.15,71.19,83.34,60.16,Enhanced emotional regulation through AI coaching; Greater scientific discovery rates,Attention span deterioration,Positive Growth
6156,6157,2041,Post-Singularity Transition,Neutral,Middle East,Young Adult (26-35),PhD/Research,Science & Research,Analytical AI,21.1,31.81,69.13,61.15,74.04,65.85,61.73,71.8,62.75,70.48,56.42,72.02,31.9,49.36,45.62,Optimized problem-solving frameworks,Memory atrophy from AI offloading,Positive Growth
6157,6158,2043,Post-Singularity Transition,Neutral,Oceania,Youth (18-25),PhD/Research,Law,Basic Assistants,17.2,33.95,70.51,64.33,76.12,66.66,58.05,76.74,67.17,64.63,55.69,63.48,43.23,48.94,36.78,Accelerated innovation cycles,Reduced independent thinking; Polarization through AI echo chambers; Emotional detachment from AI mediation,Positive Growth
6158,6159,2060,Cognitive Co-Evolution,Optimistic,Europe,Senior (51-65),PhD/Research,Healthcare,Multi-modal AI,26.2,55.81,73.73,71.15,86.99,77.79,65.36,81.53,70.88,76.09,70.71,69.33,57.04,73.44,58.38,Broader knowledge access; Real-time language and cultural bridging; Enhanced research capabilities,Reduced independent thinking,Positive Growth
6159,6160,2066,Symbiotic Intelligence Age,Mixed,Europe,Elder (65+),Secondary,Finance,Multi-modal AI,42.1,72.82,50.67,69.33,53.29,56.4,65.08,67.38,55.87,78.1,77.88,55.76,72.76,59.51,39.76,Faster medical diagnostics; Greater scientific discovery rates,Over-reliance on AI outputs,Stagnant / Moderate
6160,6161,2065,Symbiotic Intelligence Age,Optimistic,Africa,Senior (51-65),PhD/Research,Engineering,Full AGI Integration,36.4,68.53,72.72,77.92,90.77,88.9,77.44,89.11,72.82,78.37,61.63,73.5,82.35,83.3,63.73,Democratized access to expertise; Personalized learning pathways,Over-reliance on AI outputs; Reduced tolerance for ambiguity,Positive Growth
6161,6162,2040,Deep AI Dependency Era,Pessimistic,North America,Youth (18-25),Undergraduate,Finance,Creative AI,17.7,51.55,47.89,55.56,65.23,54.58,34.31,50.03,81.61,66.96,65.79,44.86,65.42,79.01,26.18,Enhanced collaborative intelligence,Algorithmic bias reinforcement; Reduced physical-world problem solving; Polarization through AI echo chambers,Cognitive Decline Risk
6162,6163,2030,AI Mainstream Adoption,Optimistic,South Asia,Elder (65+),Secondary,Skilled Trades,,10.9,22.71,47.87,66.35,63.76,60.59,69.76,59.95,81.57,69.56,58.02,70.12,34.17,51.92,47.08,Increased productivity for deep work; Improved accessibility for disabled individuals,Memory atrophy from AI offloading; Privacy erosion through behavioral data,Stagnant / Moderate
6163,6164,2061,Symbiotic Intelligence Age,Pessimistic,Oceania,Youth (18-25),Undergraduate,Social Sciences,Multi-modal AI,26.9,66.59,48.16,45.36,55.14,28.3,40.55,54.23,43.15,47.17,70.2,48.26,62.27,42.9,30.27,,Declining handwriting and manual skills; Memory atrophy from AI offloading,Cognitive Decline Risk
6164,6165,2035,AI-Augmented Society,Optimistic,East Asia,Adult (36-50),Primary,Social Sciences,Basic Assistants,2.5,23.93,61.61,68.32,67.6,64.07,51.85,58.13,81.58,72.27,44.94,68.99,31.46,70.92,50.28,Democratized access to expertise; Augmented artistic expression; Better data-driven decisions,,Positive Growth
6165,6166,2055,Cognitive Co-Evolution,Pessimistic,East Asia,Youth (18-25),Primary,Healthcare,Multi-modal AI,30.6,65.61,45.71,53.93,58.28,53.29,41.57,49.58,57.78,55.94,66.32,33.39,62.93,58.51,39.87,Optimized problem-solving frameworks,Reduced risk-taking in innovation; Attention span deterioration; Digital addiction patterns; Decreased social bonding,Cognitive Decline Risk
6166,6167,2047,Post-Singularity Transition,Pessimistic,Europe,Senior (51-65),Postgraduate,Healthcare,Creative AI,31.3,57.9,49.73,71.35,42.46,63.01,49.85,60.08,40.47,51.45,70.39,53.57,67.14,50.85,20.52,Faster medical diagnostics,Reduced risk-taking in innovation; Attention span deterioration; Reduced physical-world problem solving,Cognitive Decline Risk
6167,6168,2075,Symbiotic Intelligence Age,Mixed,South Asia,Youth (18-25),Primary,Entrepreneurship,AGI-Adjacent Tools,35.7,73.38,65.04,51.96,60.4,63.13,56.53,62.8,45.78,61.81,68.28,60.17,84.23,68.43,32.19,Personalized learning pathways; Improved accessibility for disabled individuals,Polarization through AI echo chambers; Privacy erosion through behavioral data,Stagnant / Moderate
6168,6169,2040,Deep AI Dependency Era,Optimistic,North America,Adult (36-50),Undergraduate,Creative Arts,Creative AI,18.6,30.92,65.79,71.58,63.59,73.0,58.79,63.97,82.29,75.79,52.05,64.97,34.98,68.83,49.28,Democratized access to expertise; Improved creative brainstorming,Polarization through AI echo chambers; Decreased social bonding,Positive Growth
6169,6170,2025,Early AI Integration,Optimistic,Southeast Asia,Elder (65+),Postgraduate,Technology,,0.8,14.85,48.28,61.73,61.4,60.6,45.94,52.66,91.65,61.17,48.0,64.9,22.37,60.42,39.3,Improved mental health support tools; Increased productivity for deep work; Accelerated innovation cycles,,Stagnant / Moderate
6170,6171,2068,Symbiotic Intelligence Age,Optimistic,Oceania,Youth (18-25),Undergraduate,Entrepreneurship,Full AGI Integration,43.0,68.6,86.5,91.12,92.01,71.67,78.98,90.44,61.68,81.03,70.1,73.2,64.5,81.87,65.28,Enhanced research capabilities; Reduced cognitive load on repetitive tasks; Faster medical diagnostics,Algorithmic bias reinforcement; Reduced risk-taking in innovation,Positive Growth
6171,6172,2045,Post-Singularity Transition,Neutral,Latin America,Youth (18-25),PhD/Research,Healthcare,Basic Assistants,6.4,38.11,76.17,55.52,60.75,65.04,68.33,66.38,72.77,64.65,70.22,69.05,46.37,54.4,55.84,Increased productivity for deep work,Algorithmic bias reinforcement; Memory atrophy from AI offloading,Stagnant / Moderate
6172,6173,2056,Cognitive Co-Evolution,Optimistic,Latin America,Adult (36-50),Secondary,Social Sciences,Analytical AI,26.6,49.8,78.3,68.43,85.64,70.85,77.56,85.24,72.24,76.07,62.69,80.5,48.07,64.62,59.14,Enhanced research capabilities; Real-time language and cultural bridging; Better data-driven decisions,Memory atrophy from AI offloading,Positive Growth
6173,6174,2037,Deep AI Dependency Era,Mixed,East Asia,Senior (51-65),Postgraduate,Entrepreneurship,Basic Assistants,14.3,33.04,73.64,70.37,47.82,72.78,43.15,68.0,75.67,80.92,66.35,65.51,38.19,55.16,49.82,Real-time language and cultural bridging; Reduced cognitive load on repetitive tasks,Digital addiction patterns,Stagnant / Moderate
6174,6175,2024,Early AI Integration,Pessimistic,South Asia,Elder (65+),Secondary,Engineering,Basic Assistants,8.6,17.89,69.26,74.92,60.13,53.56,74.33,51.09,84.19,79.43,54.64,55.33,26.22,73.1,43.01,,Attention span deterioration; Reduced risk-taking in innovation; Over-reliance on AI outputs,Cognitive Decline Risk
6175,6176,2038,Deep AI Dependency Era,Pessimistic,Latin America,Youth (18-25),PhD/Research,Unemployed/Retired,Creative AI,26.3,46.42,61.19,69.99,68.72,53.43,54.13,52.44,76.98,60.94,63.71,69.88,41.02,45.41,32.39,Better data-driven decisions,Emotional detachment from AI mediation; Creativity homogenization; Memory atrophy from AI offloading; Over-reliance on AI outputs,Cognitive Decline Risk
6176,6177,2026,Early AI Integration,Neutral,South Asia,Youth (18-25),PhD/Research,Finance,Basic Assistants,14.3,12.11,57.64,61.6,67.68,57.96,53.28,64.03,71.28,65.69,45.11,64.97,26.64,44.33,54.36,Broader knowledge access; Improved accessibility for disabled individuals; Democratized access to expertise,Emotional detachment from AI mediation,Stagnant / Moderate
6177,6178,2075,Symbiotic Intelligence Age,Optimistic,North America,Young Adult (26-35),Postgraduate,Entrepreneurship,Full AGI Integration,44.8,78.76,85.67,75.13,87.73,77.31,94.64,91.45,61.55,92.0,71.15,82.71,68.46,88.09,71.5,Real-time language and cultural bridging; Better data-driven decisions; Reduced cognitive load on repetitive tasks,Reduced independent thinking,Positive Growth
6178,6179,2053,Cognitive Co-Evolution,Optimistic,North America,Elder (65+),PhD/Research,Social Sciences,Multi-modal AI,25.2,51.18,71.88,80.22,82.97,71.03,68.53,81.2,70.77,79.95,68.82,79.74,54.44,75.4,58.19,Optimized problem-solving frameworks; Improved creative brainstorming; Improved mental health support tools,,Positive Growth
6179,6180,2054,Cognitive Co-Evolution,Pessimistic,Latin America,Senior (51-65),Secondary,Social Sciences,Multi-modal AI,37.6,68.44,39.81,40.89,71.22,54.75,33.96,57.14,63.74,64.01,73.96,46.24,65.96,57.48,30.43,Accelerated innovation cycles; Improved mental health support tools,Memory atrophy from AI offloading; Reduced tolerance for ambiguity; Reduced risk-taking in innovation; Decreased self-confidence in decisions,Cognitive Decline Risk
6180,6181,2052,Cognitive Co-Evolution,Neutral,North America,Adult (36-50),Primary,Education,Multi-modal AI,22.3,46.74,66.01,67.77,65.83,65.54,63.65,73.67,59.55,66.45,67.05,56.98,52.82,62.21,64.76,Faster skill acquisition,Memory atrophy from AI offloading,Positive Growth
6181,6182,2024,Early AI Integration,Optimistic,North America,Adult (36-50),Primary,Social Sciences,,2.3,14.77,58.77,55.62,62.09,58.79,56.45,58.85,85.61,75.67,54.13,53.44,14.68,60.72,43.65,Reduced cognitive load on repetitive tasks; Faster skill acquisition,Digital addiction patterns; Reduced physical-world problem solving,Stagnant / Moderate
6182,6183,2031,AI-Augmented Society,Optimistic,Europe,Senior (51-65),Secondary,Science & Research,,6.6,21.43,64.66,62.04,60.93,61.11,50.16,65.24,79.2,67.87,51.51,60.48,24.72,59.79,49.01,Greater scientific discovery rates; Increased productivity for deep work; Enhanced collaborative intelligence,,Stagnant / Moderate
6183,6184,2055,Cognitive Co-Evolution,Mixed,Latin America,Adult (36-50),Secondary,Social Sciences,Multi-modal AI,26.4,49.64,63.35,56.79,47.02,65.05,23.41,68.52,65.73,59.62,67.58,64.42,41.43,63.67,18.93,Greater scientific discovery rates; Faster medical diagnostics; Accelerated innovation cycles,Reduced physical-world problem solving; Reduced independent thinking; Job displacement anxiety,Stagnant / Moderate
6184,6185,2027,AI Mainstream Adoption,Optimistic,South Asia,Young Adult (26-35),Primary,Creative Arts,,7.1,13.84,58.8,65.22,62.54,63.77,49.97,51.38,77.99,64.38,58.15,68.09,20.82,61.11,44.08,Cross-domain creativity boosts; Enhanced research capabilities; Real-time language and cultural bridging; Improved creative brainstorming,,Stagnant / Moderate
6185,6186,2074,Symbiotic Intelligence Age,Mixed,Southeast Asia,Adult (36-50),Secondary,Social Sciences,Full AGI Integration,33.1,76.43,66.61,73.54,58.87,60.92,37.22,54.26,55.19,74.82,71.75,72.57,68.05,49.75,59.36,Augmented artistic expression,Algorithmic bias reinforcement; Loss of deep reading habits,Stagnant / Moderate
6186,6187,2065,Symbiotic Intelligence Age,Mixed,Africa,Elder (65+),Secondary,Social Sciences,Full AGI Integration,30.0,61.69,50.32,69.07,54.11,48.8,33.78,53.12,50.87,81.83,57.99,61.57,61.63,56.61,54.43,Enhanced collaborative intelligence,Skill atrophy in non-AI domains; Reduced physical-world problem solving; Declining handwriting and manual skills,Stagnant / Moderate
6187,6188,2035,AI-Augmented Society,Pessimistic,South Asia,Senior (51-65),Undergraduate,Technology,Creative AI,19.8,44.57,61.54,59.51,49.55,70.2,43.54,49.72,81.8,60.57,60.44,44.41,49.01,61.51,50.58,Personalized learning pathways; Cross-domain creativity boosts,Reduced risk-taking in innovation; Memory atrophy from AI offloading; Loss of deep reading habits,Cognitive Decline Risk
6188,6189,2074,Symbiotic Intelligence Age,Optimistic,East Asia,Young Adult (26-35),Undergraduate,Healthcare,AGI-Adjacent Tools,39.6,83.38,94.29,81.42,85.13,84.13,100.0,91.75,62.49,85.22,60.46,76.33,79.32,96.43,64.78,Real-time language and cultural bridging; Reduced cognitive load on repetitive tasks,Memory atrophy from AI offloading,Positive Growth
6189,6190,2075,Symbiotic Intelligence Age,Optimistic,South Asia,Elder (65+),Secondary,Education,AGI-Adjacent Tools,41.9,82.89,88.53,86.3,97.11,82.61,83.02,84.06,69.06,83.53,71.34,97.76,83.36,91.97,59.41,Cross-domain creativity boosts; Broader knowledge access; Better data-driven decisions,Skill atrophy in non-AI domains; Attention span deterioration,Positive Growth
6190,6191,2075,Symbiotic Intelligence Age,Neutral,Oceania,Youth (18-25),Primary,Engineering,Full AGI Integration,43.6,78.66,62.3,58.64,71.49,63.27,62.66,80.47,53.51,66.55,71.1,60.98,85.55,56.86,25.13,Enhanced collaborative intelligence; Greater scientific discovery rates; Better data-driven decisions,Existential anxiety from AI advancement; Reduced physical-world problem solving,Stagnant / Moderate
6191,6192,2041,Post-Singularity Transition,Neutral,Europe,Young Adult (26-35),Secondary,Healthcare,Basic Assistants,20.7,30.48,65.92,72.03,63.61,60.7,58.67,64.29,69.76,62.9,60.33,55.41,30.18,60.0,23.49,Improved creative brainstorming; Enhanced emotional regulation through AI coaching,Emotional detachment from AI mediation; Privacy erosion through behavioral data; Memory atrophy from AI offloading,Positive Growth
6192,6193,2034,AI-Augmented Society,Mixed,Southeast Asia,Young Adult (26-35),Undergraduate,Creative Arts,Creative AI,8.1,23.32,71.75,80.06,54.29,66.28,55.97,48.91,74.39,79.91,59.07,71.38,31.35,68.65,29.12,Faster medical diagnostics; Greater scientific discovery rates; Reduced cognitive load on repetitive tasks,Job displacement anxiety,Stagnant / Moderate
6193,6194,2053,Cognitive Co-Evolution,Mixed,East Asia,Adult (36-50),Undergraduate,Healthcare,Creative AI,27.1,44.82,62.81,74.59,61.28,69.12,40.02,66.47,54.17,52.57,61.52,72.04,41.97,61.98,49.28,Better data-driven decisions; Faster medical diagnostics,Skill atrophy in non-AI domains,Stagnant / Moderate
6194,6195,2038,Deep AI Dependency Era,Neutral,Oceania,Senior (51-65),Primary,Education,,16.8,29.87,65.34,57.75,62.96,63.36,46.26,60.58,72.43,59.26,53.23,57.61,31.7,66.07,53.4,Optimized problem-solving frameworks,Loss of deep reading habits; Reduced physical-world problem solving,Stagnant / Moderate
6195,6196,2066,Symbiotic Intelligence Age,Optimistic,Europe,Senior (51-65),Secondary,Law,AGI-Adjacent Tools,33.4,71.48,86.11,82.59,70.11,84.98,83.62,83.13,67.03,67.75,79.91,76.8,61.99,84.26,58.04,Augmented artistic expression; Reduced cognitive load on repetitive tasks,Job displacement anxiety,Positive Growth
6196,6197,2033,AI-Augmented Society,Optimistic,Oceania,Elder (65+),Undergraduate,Finance,,13.0,17.73,61.24,61.28,70.46,65.74,59.66,68.11,88.72,67.24,62.99,65.0,13.09,64.89,43.08,Faster medical diagnostics; Accelerated innovation cycles,,Stagnant / Moderate
6197,6198,2045,Post-Singularity Transition,Mixed,Africa,Senior (51-65),Postgraduate,Business,Creative AI,28.8,52.56,66.23,75.35,64.3,66.97,77.66,39.25,82.15,65.41,74.4,70.1,53.58,71.23,36.6,Enhanced collaborative intelligence,Memory atrophy from AI offloading,Stagnant / Moderate
6198,6199,2065,Symbiotic Intelligence Age,Optimistic,East Asia,Youth (18-25),PhD/Research,Social Sciences,Multi-modal AI,34.4,62.72,84.57,74.72,87.44,82.13,76.04,77.0,60.66,74.54,72.52,81.6,61.51,74.75,61.55,Improved creative brainstorming; Reduced cognitive load on repetitive tasks; Enhanced emotional regulation through AI coaching,,Positive Growth
6199,6200,2067,Symbiotic Intelligence Age,Optimistic,East Asia,Elder (65+),PhD/Research,Business,Multi-modal AI,36.3,71.4,86.21,81.73,75.36,76.31,84.53,84.58,71.79,82.85,73.21,76.32,72.75,86.26,66.69,Enhanced collaborative intelligence; Improved accessibility for disabled individuals; Increased productivity for deep work; Better data-driven decisions,Privacy erosion through behavioral data; Reduced tolerance for ambiguity,Positive Growth
6200,6201,2051,Cognitive Co-Evolution,Neutral,North America,Adult (36-50),Postgraduate,Law,Multi-modal AI,25.7,45.55,66.41,65.88,67.9,60.73,57.47,70.91,68.72,60.96,53.54,56.72,42.85,54.37,32.86,Optimized problem-solving frameworks,Reduced physical-world problem solving,Positive Growth
6201,6202,2058,Cognitive Co-Evolution,Pessimistic,South Asia,Senior (51-65),Secondary,Technology,Multi-modal AI,32.9,66.09,43.34,43.08,52.7,49.42,35.38,49.79,59.97,51.59,70.31,59.53,64.51,47.63,28.06,Enhanced collaborative intelligence,Algorithmic bias reinforcement; Memory atrophy from AI offloading,Cognitive Decline Risk
6202,6203,2074,Symbiotic Intelligence Age,Mixed,North America,Adult (36-50),Secondary,Creative Arts,Full AGI Integration,39.9,81.18,53.22,60.45,60.48,55.01,55.0,65.87,49.24,73.45,72.93,63.82,78.25,69.93,43.49,Optimized problem-solving frameworks; Greater scientific discovery rates,Decreased social bonding,Stagnant / Moderate
6203,6204,2060,Cognitive Co-Evolution,Neutral,South Asia,Adult (36-50),Primary,Social Sciences,Multi-modal AI,26.1,58.27,69.9,56.86,72.43,68.96,66.8,68.16,57.31,63.01,55.41,53.49,53.15,68.73,20.51,Personalized learning pathways; Enhanced research capabilities,Privacy erosion through behavioral data; Existential anxiety from AI advancement,Positive Growth
6204,6205,2053,Cognitive Co-Evolution,Optimistic,Oceania,Young Adult (26-35),PhD/Research,Science & Research,Creative AI,25.2,48.45,76.68,68.91,71.68,68.51,73.95,74.89,72.97,74.28,60.44,81.52,57.7,68.33,57.84,Augmented artistic expression; Democratized access to expertise,Attention span deterioration; Over-reliance on AI outputs,Positive Growth
6205,6206,2069,Symbiotic Intelligence Age,Mixed,North America,Senior (51-65),Undergraduate,Entrepreneurship,AGI-Adjacent Tools,33.3,69.46,61.8,72.61,55.04,65.72,51.07,53.64,56.86,70.44,66.56,61.88,77.41,42.72,32.81,Optimized problem-solving frameworks,Declining handwriting and manual skills,Stagnant / Moderate
6206,6207,2034,AI-Augmented Society,Optimistic,East Asia,Youth (18-25),Primary,Education,Basic Assistants,10.2,22.43,62.13,59.87,66.74,62.76,66.42,62.08,75.1,70.69,59.71,63.99,27.91,62.73,44.88,Augmented artistic expression; Enhanced collaborative intelligence; Enhanced research capabilities; Personalized learning pathways,Reduced physical-world problem solving,Stagnant / Moderate
6207,6208,2033,AI-Augmented Society,Pessimistic,Latin America,Youth (18-25),Undergraduate,Social Sciences,,14.7,31.97,65.47,50.69,63.1,71.33,58.7,60.36,77.05,65.76,51.38,59.55,34.35,69.45,56.03,Faster medical diagnostics; Augmented artistic expression,Creativity homogenization; Decreased social bonding,Cognitive Decline Risk
6208,6209,2037,Deep AI Dependency Era,Pessimistic,Middle East,Elder (65+),Primary,Science & Research,Creative AI,16.9,38.3,58.38,64.03,64.21,68.73,44.36,55.01,91.87,56.37,70.88,62.49,40.24,53.84,48.57,,Reduced independent thinking; Job displacement anxiety,Cognitive Decline Risk
6209,6210,2053,Cognitive Co-Evolution,Optimistic,Southeast Asia,Senior (51-65),Secondary,Business,Analytical AI,15.9,52.69,80.15,68.9,68.74,69.95,75.15,74.63,74.93,78.08,66.28,65.74,64.76,76.45,54.68,Better data-driven decisions; Reduced cognitive load on repetitive tasks; Improved accessibility for disabled individuals; Broader knowledge access,Reduced independent thinking,Positive Growth
6210,6211,2061,Symbiotic Intelligence Age,Pessimistic,Oceania,Youth (18-25),Postgraduate,Creative Arts,Multi-modal AI,28.0,78.25,35.07,42.7,44.91,38.79,34.77,53.8,38.85,61.03,68.99,47.4,84.16,41.97,24.97,,Emotional detachment from AI mediation; Digital addiction patterns; Creativity homogenization; Existential anxiety from AI advancement,Cognitive Decline Risk
6211,6212,2031,AI-Augmented Society,Optimistic,North America,Senior (51-65),Undergraduate,Entrepreneurship,,13.5,22.14,57.38,58.83,59.39,58.86,59.55,57.3,90.4,67.44,39.81,52.71,37.31,61.39,53.63,Improved accessibility for disabled individuals; Enhanced research capabilities; Improved mental health support tools,Declining handwriting and manual skills,Stagnant / Moderate
6212,6213,2060,Cognitive Co-Evolution,Pessimistic,South Asia,Elder (65+),Secondary,Unemployed/Retired,Multi-modal AI,35.8,78.66,32.97,42.58,50.61,46.45,43.39,50.21,47.84,46.23,68.2,55.7,75.64,60.13,22.83,,Skill atrophy in non-AI domains; Existential anxiety from AI advancement,Cognitive Decline Risk
6213,6214,2066,Symbiotic Intelligence Age,Pessimistic,North America,Young Adult (26-35),Secondary,Entrepreneurship,Full AGI Integration,37.2,76.06,41.04,40.23,59.79,34.6,59.53,53.67,34.63,45.61,75.84,48.41,80.26,38.0,27.12,Optimized problem-solving frameworks,Polarization through AI echo chambers; Job displacement anxiety; Decreased self-confidence in decisions,Cognitive Decline Risk
6214,6215,2075,Symbiotic Intelligence Age,Neutral,Europe,Senior (51-65),PhD/Research,Unemployed/Retired,AGI-Adjacent Tools,30.0,79.43,69.55,52.82,73.28,61.03,78.26,77.04,51.99,54.01,65.31,81.53,81.44,71.29,36.15,Democratized access to expertise; Augmented artistic expression; Improved accessibility for disabled individuals,Privacy erosion through behavioral data,Stagnant / Moderate
6215,6216,2031,AI-Augmented Society,Mixed,Europe,Senior (51-65),Undergraduate,Technology,,18.6,28.18,81.93,65.63,45.55,74.32,61.64,57.12,88.7,76.14,65.1,62.27,36.54,71.26,50.45,Reduced cognitive load on repetitive tasks; Cross-domain creativity boosts; Faster medical diagnostics,Reduced physical-world problem solving; Job displacement anxiety; Polarization through AI echo chambers,Stagnant / Moderate
6216,6217,2032,AI-Augmented Society,Optimistic,Oceania,Elder (65+),PhD/Research,Skilled Trades,Basic Assistants,11.7,21.78,51.08,56.07,66.17,66.34,59.48,57.05,78.89,75.91,61.88,71.36,37.48,55.98,50.08,Cross-domain creativity boosts; Personalized learning pathways; Increased productivity for deep work; Improved creative brainstorming,Existential anxiety from AI advancement,Stagnant / Moderate
6217,6218,2031,AI-Augmented Society,Pessimistic,Africa,Young Adult (26-35),Primary,Skilled Trades,Basic Assistants,21.4,37.43,73.2,71.53,73.86,61.04,54.39,60.4,84.95,68.67,67.27,63.27,48.77,63.67,37.3,,Reduced tolerance for ambiguity; Decreased social bonding; Reduced independent thinking; Attention span deterioration,Cognitive Decline Risk
6218,6219,2050,Post-Singularity Transition,Pessimistic,South Asia,Young Adult (26-35),PhD/Research,Entrepreneurship,Analytical AI,26.0,60.18,54.85,56.32,53.6,54.82,44.03,57.87,63.84,64.54,70.49,61.42,65.37,50.65,26.96,Greater scientific discovery rates,Declining handwriting and manual skills; Polarization through AI echo chambers; Skill atrophy in non-AI domains; Decreased social bonding,Cognitive Decline Risk
6219,6220,2054,Cognitive Co-Evolution,Optimistic,Middle East,Senior (51-65),PhD/Research,Finance,AGI-Adjacent Tools,24.8,52.5,67.67,69.43,82.65,72.23,69.54,82.79,78.25,79.52,82.95,72.86,55.55,75.64,60.09,Accelerated innovation cycles; Enhanced collaborative intelligence,Creativity homogenization; Over-reliance on AI outputs,Positive Growth
6220,6221,2073,Symbiotic Intelligence Age,Mixed,North America,Elder (65+),Secondary,Entrepreneurship,Full AGI Integration,39.8,87.31,59.08,67.75,81.28,64.07,57.31,63.18,50.55,73.01,77.02,71.52,83.22,68.51,70.41,Cross-domain creativity boosts; Broader knowledge access,Job displacement anxiety; Loss of deep reading habits,Stagnant / Moderate
6221,6222,2047,Post-Singularity Transition,Neutral,South Asia,Senior (51-65),Secondary,Finance,Analytical AI,19.1,38.75,70.31,66.28,67.45,68.21,66.53,76.61,66.95,66.94,48.84,73.03,38.95,58.95,45.06,Enhanced research capabilities; Real-time language and cultural bridging,Memory atrophy from AI offloading; Decreased social bonding; Decreased self-confidence in decisions,Positive Growth
6222,6223,2030,AI Mainstream Adoption,Optimistic,Africa,Senior (51-65),Primary,Finance,,5.4,17.3,62.64,61.29,64.98,72.04,59.62,63.24,82.7,68.73,54.36,55.32,27.82,67.63,38.22,Enhanced collaborative intelligence; Augmented artistic expression; Accelerated innovation cycles; Democratized access to expertise,Emotional detachment from AI mediation; Existential anxiety from AI advancement,Positive Growth
